timeindex	ar1	sd	sk	kurt	cv	returnrate	densratio	acf1
1999	0.987477703697853	0.0021552667401274	0.332070594765	3.6208707890953	2.67210037657841	1.0126810927024	13493.9849581683	0.984795016555807
2000	0.987620723737335	0.00215798593889194	0.326575957517519	3.61988596229977	2.68106179089663	1.01253444360282	13485.7731187879	0.98478921629688
2001	0.987661802582179	0.00216096462702457	0.320525411716155	3.61935095129295	2.6909540728199	1.01249233025471	13310.7164448288	0.984664414553128
2002	0.987474016664356	0.00216349480596878	0.315343547735661	3.6185404506212	2.69922463770085	1.01268487385416	13382.3689677828	0.984715765590297
2003	0.987501976350252	0.00216540519369961	0.311474573053043	3.61743253451223	2.70543043830989	1.01265620115105	13925.7449300448	0.985093397701747
2004	0.987595794285439	0.002167888951567	0.306786971023396	3.61556876365335	2.71387446546684	1.01256000257022	13758.3118652277	0.984979196524819
2005	0.987564034834024	0.00217015098283973	0.302534377407493	3.61365881922205	2.7215436823039	1.01259256587657	13895.8539937978	0.985073146762556
2006	0.987752869253901	0.00217278073952147	0.29721115531707	3.61296620607335	2.73026212003814	1.01239898270845	13695.9550448035	0.984936182270346
2007	0.987761270555236	0.00217534156757333	0.292133496359375	3.61196802677971	2.73883275754848	1.0123903718536	13804.3368206336	0.98501077573203
2008	0.987760839813771	0.00217776392635871	0.287558873748249	3.61029046412262	2.74710546089909	1.01239081333548	14020.3650463918	0.985157116369388
2009	0.987882227300059	0.0021804107265123	0.282604710549757	3.60865667160501	2.75625852290102	1.01226641432052	14022.7709742348	0.985158728969314
2010	0.988359746758754	0.00218399583094012	0.274829278977934	3.61119714176806	2.76815115812587	1.0117773445139	13570.5443268008	0.984848862863811
2011	0.98889314971961	0.00218889207008542	0.262757249845215	3.62296466464789	2.78397158698181	1.01123159795731	12852.2932652959	0.984326719022866
2012	0.988588075113905	0.00219308500937093	0.253397786748334	3.62838101731659	2.79801251371313	1.01154366027001	13273.8999345891	0.984637882796025
2013	0.988597884560703	0.00219702440449991	0.244613390239448	3.63293323939081	2.8110927942747	1.01153362314179	13492.5595222272	0.984794010073434
2014	0.988846385682136	0.0022014246649721	0.234517475723474	3.6401544287103	2.82572723293537	1.01127942062525	13361.3609718085	0.984700748676876
2015	0.988847166881992	0.00220582946853747	0.224807488768238	3.64637169804809	2.84078416405344	1.01127862170367	13446.0891414811	0.984761118550502
2016	0.988659042048808	0.00220956105078983	0.217335780874438	3.64807331871571	2.85391817107481	1.01147105065432	13986.3765066782	0.985134295099015
2017	0.988595399093169	0.00221328972628769	0.210448194102386	3.64845957871457	2.86771521280904	1.01153616627924	14043.8757079977	0.9851728586323
2018	0.988693980940456	0.00221694479566087	0.203106699152086	3.65018301999353	2.88056843032466	1.01143530685682	14080.5821058119	0.985197365372139
2019	0.988894054302909	0.00222099956237119	0.194624349106307	3.65406846348971	2.89474986281287	1.01123067294091	13912.3290508789	0.9850843158067
2020	0.988910551818538	0.00222486962288044	0.186867632369903	3.65648802723063	2.90854284099166	1.01121380306952	14195.7557662145	0.985273703078774
2021	0.989124383538239	0.00222925894273628	0.177911262246774	3.66122860493956	2.92444707380755	1.01099519599634	13983.2611180416	0.985132199548532
2022	0.989101923264589	0.00223341918535344	0.16974004151136	3.66432002428317	2.93972472789104	1.01101815341683	14239.7315645241	0.985302630117525
2023	0.989020882159375	0.00223746427078219	0.162330296569754	3.66583217494569	2.95519013197216	1.01110099699478	14353.0028842768	0.985376587397861
2024	0.989409405782333	0.00224201298220628	0.152450668003871	3.67309521812835	2.97121033853583	1.01070395546654	14078.9645098075	0.985196287216821
2025	0.989024801350656	0.00224573129288438	0.146107060279672	3.67263446855333	2.98578736915121	1.01109699032254	14797.5151729197	0.985659395130603
2026	0.98900330604464	0.00224932997600786	0.140382403990341	3.67109131525184	3.00041071919357	1.01111896581958	14989.8609825745	0.985778254189977
2027	0.988936703116154	0.00225260117285535	0.135782180447786	3.66781873539149	3.01434841425834	1.01118706267953	15389.3450336709	0.986018708980849
2028	0.989016292311464	0.00225602193262271	0.131418787962819	3.66465141997932	3.03026521335754	1.01110568933386	15392.6593703423	0.986020668923426
2029	0.98899800528112	0.00225929086102267	0.126772566440916	3.66151774907326	3.04420009533583	1.0111243851455	15481.9159317644	0.986073240137848
2030	0.989132693667283	0.00226277823851776	0.121260082969869	3.65983826280614	3.05848408225885	1.01098670219101	15321.2658736902	0.985978325028158
2031	0.988980879000953	0.00226581035130718	0.116921660228205	3.65655083838657	3.07123623811879	1.01114189488696	15693.71991756	0.986196389073579
